Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known,Tranco
https://cabelas.com,169,not added,null,null,null,null,null,null,null,null,null,None,None,None,312
https://nationalinterest.org,172,added,nationalinterest.org,null,null,null,null,null,null,null,null,None,None,None,316
https://reviewerguidelines.shutterstock.com,175,redirected,shutterstock.com,null,null,null,null,null,null,null,null,None,None,None,323
https://expedia.com,178,added,expedia.com,null,null,null,null,null,null,null,null,None,None,None,328
https://biglots.com,180,added,biglots.com,null,null,null,null,null,null,null,null,None,None,None,330
https://study.com,182,added,study.com,null,null,null,null,null,null,null,null,None,None,None,333
https://rs-stripe.offers.com,183,redirected,offers.com,null,null,null,null,null,null,null,null,None,None,None,334
https://investors.grubhub.com,185,redirected,justeattakeaway.com,null,null,null,null,null,null,null,null,None,None,None,336
https://instructables.com,188,added,instructables.com,null,null,null,null,null,null,null,null,None,None,None,339
https://joinhoney.com,191,added,joinhoney.com,null,null,null,null,null,null,null,null,None,None,None,346
https://ticketweb.com,195,added,ticketweb.com,null,null,null,null,null,null,null,null,None,None,None,355
https://statefarm.com,197,added,statefarm.com,null,null,null,null,null,null,null,null,None,None,None,359
https://liftoff.io,199,added,liftoff.io,null,null,null,null,null,null,null,null,None,None,None,361
https://search.alot.com,203,redirected,alot.com,null,null,null,null,null,null,null,null,None,None,None,371
https://cnsnews.com,204,redirected,newsbusters.org,null,null,null,null,null,null,null,null,None,None,None,373
https://boingboing.net,205,added,boingboing.net,null,null,null,null,null,null,null,null,None,None,None,374
https://seattletimes.com,206,added,seattletimes.com,null,null,null,null,null,null,null,null,None,None,None,375
https://dropbox.com,207,added,dropbox.com,null,null,null,null,null,null,null,null,None,None,None,376
https://godaddy.com,209,added,godaddy.com,null,null,null,null,null,null,null,null,None,None,None,380
https://petsmart.com,213,not added,null,null,null,null,null,null,null,null,null,None,None,None,389
https://autodiscover.stubhub.com,214,not added,null,null,null,null,null,null,null,null,null,None,None,None,393
https://kickstarter.com,217,added,kickstarter.com,null,null,null,null,null,null,null,null,None,None,None,398
https://cricketwireless.com,221,added,cricketwireless.com,null,null,null,null,null,null,null,null,None,None,None,403
https://hobbylobby.com,231,added,hobbylobby.com,null,null,null,null,null,null,null,null,None,None,None,428
