Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known,Tranco
https://united.com,144,added,united.com,null,null,null,null,null,null,null,null,None,None,None,266.0
https://coldwellbankerhomes.com,146,added,coldwellbankerhomes.com,null,null,null,null,null,null,null,null,None,None,None,270.0
https://nutaku.net,148,added,nutaku.net,null,null,null,null,null,null,null,null,None,None,None,272.0
https://hilton.com,151,added,hilton.com,null,null,null,null,null,null,null,null,None,None,None,276.0
https://gap.com,152,added,gap.com,null,null,null,null,null,null,null,null,None,None,None,277.0
https://kroger.com,154,not added,null,null,null,null,null,null,null,null,null,None,None,None,283.0
https://usaa.com,157,added,usaa.com,null,null,null,null,null,null,null,null,None,None,None,291.0
https://spectrum.com,158,not added,null,null,null,null,null,null,null,null,null,None,None,None,296.0
https://zappos.com,161,added,zappos.com,null,null,null,null,null,null,null,null,None,None,None,302.0
https://progressive.com,164,added,progressive.com,null,null,null,null,null,null,null,null,None,None,None,306.0
https://staples.com,167,added,staples.com,null,null,null,null,null,null,null,null,None,None,None,310.0
https://starbucks.com,168,added,starbucks.com,null,null,null,null,null,null,null,null,None,None,None,311.0
https://cabelas.com,169,added,cabelas.com,null,null,null,null,null,null,null,null,None,None,None,312.0
https://reviewerguidelines.shutterstock.com,175,redirected,shutterstock.com,null,null,null,null,null,null,null,null,None,None,None,323.0
https://expedia.com,178,added,expedia.com,null,null,null,null,null,null,null,null,None,None,None,328.0
https://biglots.com,180,added,biglots.com,null,null,null,null,null,null,null,null,None,None,None,330.0
https://study.com,182,added,study.com,null,null,null,null,null,null,null,null,None,None,None,333.0
https://rs-stripe.offers.com,183,redirected,offers.com,null,null,null,null,null,null,null,null,None,None,None,334.0
https://investors.grubhub.com,185,redirected,justeattakeaway.com,null,null,null,null,null,null,null,null,None,None,None,336.0
https://instructables.com,188,added,instructables.com,null,null,null,null,null,null,null,null,None,None,None,339.0
https://joinhoney.com,191,added,joinhoney.com,null,null,null,null,null,null,null,null,None,None,None,346.0
https://ticketweb.com,195,added,ticketweb.com,null,null,null,null,null,null,null,null,None,None,None,355.0
https://statefarm.com,197,added,statefarm.com,null,null,null,null,null,null,null,null,None,None,None,359.0
https://liftoff.io,199,redirected,liftoff.ai,null,null,null,null,null,null,null,null,None,None,None,361.0
https://neimanmarcus.com,201,added,neimanmarcus.com,null,null,null,null,null,null,null,null,None,None,None,367.0
https://search.alot.com,203,redirected,alot.com,null,null,null,null,null,null,null,null,None,None,None,371.0
https://cnsnews.com,204,redirected,newsbusters.org,null,null,null,null,null,null,null,null,None,None,None,373.0
https://seattletimes.com,206,added,seattletimes.com,null,null,null,null,null,null,null,null,None,None,None,375.0
https://dropbox.com,207,added,dropbox.com,null,null,null,null,null,null,null,null,None,None,None,376.0
https://homeadvisor.com,208,added,homeadvisor.com,null,null,null,null,null,null,null,null,None,None,None,378.0
https://godaddy.com,209,added,godaddy.com,null,null,null,null,null,null,null,null,None,None,None,380.0
https://chegg.com,212,added,chegg.com,null,null,null,null,null,null,null,null,None,None,None,386.0
https://petsmart.com,213,not added,null,null,null,null,null,null,null,null,null,None,None,None,389.0
https://autodiscover.stubhub.com,214,not added,null,null,null,null,null,null,null,null,null,None,None,None,393.0
https://kickstarter.com,217,added,kickstarter.com,null,null,null,null,null,null,null,null,None,None,None,398.0
https://cricketwireless.com,221,added,cricketwireless.com,null,null,null,null,null,null,null,null,None,None,None,403.0
https://autotrader.com,223,added,autotrader.com,null,null,null,null,null,null,null,null,None,None,None,407.0
https://hobbylobby.com,231,added,hobbylobby.com,null,null,null,null,no_gpc,no_gpc,null,null,None,None,None,428.0
https://tacobell.com,232,added,tacobell.com,null,null,null,null,null,null,null,null,None,None,None,429.0
https://bhg.com,239,added,bhg.com,null,null,null,null,null,null,null,null,None,None,None,441.0
https://subway.com,243,not added,null,null,null,null,null,null,null,null,null,None,None,None,451.0
https://oreillyauto.com,244,added,oreillyauto.com,null,null,null,null,null,null,null,null,None,None,None,453.0
https://sohh.com,245,added,sohh.com,null,null,null,null,null,null,null,null,None,None,None,454.0
https://infowars.com,246,added,infowars.com,null,null,null,null,null,null,null,null,None,None,None,456.0
