Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known
https://statefarm.com,197,added,statefarm.com,null,null,null,null,null,null,null,null,None,None,None
https://liftoff.io,199,added,liftoff.io,null,null,null,null,null,null,null,null,None,None,None
https://search.alot.com,203,added,alot.com,null,null,null,null,null,null,null,null,None,None,None
https://cnsnews.com,204,redirected,mrctv.org,null,null,null,null,null,null,null,null,None,None,None
https://seattletimes.com,206,added,seattletimes.com,null,null,null,null,null,null,null,null,None,None,None
https://dropbox.com,207,added,dropbox.com,null,null,null,null,null,null,null,null,None,None,None
https://godaddy.com,209,added,godaddy.com,null,null,null,null,null,null,null,null,None,None,None
https://acehardware.com,210,added,acehardware.com,null,null,null,null,null,null,null,null,None,None,None
https://petsmart.com,213,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://autodiscover.stubhub.com,214,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://slashfilm.com,215,added,slashfilm.com,null,null,null,null,null,null,null,null,None,None,None
https://kickstarter.com,217,added,kickstarter.com,null,null,null,null,null,null,null,null,None,None,None
https://cricketwireless.com,221,added,cricketwireless.com,null,null,null,null,null,null,null,null,None,None,None
https://autotrader.com,223,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://coursehero.com,228,added,coursehero.com,null,null,null,null,null,null,null,null,None,None,None
https://hobbylobby.com,231,added,hobbylobby.com,null,null,null,null,no_gpc,no_gpc,null,null,None,None,None
https://clutchpoints.com,238,added,clutchpoints.com,null,null,null,null,null,null,null,null,None,None,None
https://bhg.com,239,added,bhg.com,null,null,null,null,null,null,null,null,None,None,None
https://law.com,242,added,law.com,null,null,null,null,null,null,null,null,None,None,None
https://subway.com,243,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://oreillyauto.com,244,added,oreillyauto.com,null,null,null,null,null,null,null,null,None,None,None
https://sohh.com,245,redirected,instagram.com,null,null,null,null,null,null,null,null,None,None,None
https://infowars.com,246,added,infowars.com,null,null,null,null,null,null,null,null,None,None,None
https://rs-stripe.broadwayworld.com,249,added,broadwayworld.com,null,null,null,null,null,null,null,null,None,None,None
https://vividseats.com,251,added,vividseats.com,null,null,null,null,null,null,null,null,None,None,None
https://firefox.com,252,redirected,mozilla.org,null,null,null,null,null,null,null,null,None,None,None
https://autodiscover.justanswer.com,253,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://carid.com,254,added,carid.com,null,null,null,null,null,null,null,null,None,None,None
https://clevelandclinic.org,255,added,clevelandclinic.org,null,null,null,null,null,null,null,null,None,None,None
https://zazzle.com,256,added,zazzle.com,null,null,null,null,null,null,null,null,None,None,None
https://lendingtree.com,257,added,lendingtree.com,null,null,null,null,null,null,null,null,None,None,None
https://reverb.com,258,added,reverb.com,null,null,null,null,null,null,null,null,None,None,None
https://ew.com,261,added,ew.com,null,null,null,null,null,null,null,null,None,None,None
https://salary.com,262,added,salary.com,null,null,null,null,null,null,null,null,None,None,None
https://teespring.com,263,added,teespring.com,null,null,null,null,null,null,null,null,None,None,None
https://campingworld.com,266,added,campingworld.com,null,null,null,null,null,null,null,null,None,None,None
https://thisoldhouse.com,268,added,thisoldhouse.com,null,null,null,null,null,null,null,null,None,None,None
https://michaels.com,270,added,michaels.com,null,null,null,null,null,null,null,null,None,None,None
https://weedmaps.com,271,added,weedmaps.com,null,null,null,null,null,null,null,null,None,None,None
https://hsn.com,275,added,hsn.com,null,null,null,null,null,null,null,null,None,None,None
https://directv.com,276,added,directv.com,null,null,null,null,null,null,null,null,None,None,None
https://synchronycredit.com,277,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://petco.com,281,added,petco.com,null,null,null,null,null,null,null,null,None,None,None
https://instacart.com,285,added,instacart.com,null,null,null,null,null,null,null,null,None,None,None
https://carvana.com,287,added,carvana.com,null,null,null,null,null,null,null,null,None,None,None
https://theadvocate.com,291,added,theadvocate.com,null,null,null,null,null,null,null,null,None,None,None
https://thedelite.com,295,added,thedelite.com,null,null,null,null,null,null,null,null,None,None,None
https://shape.com,296,added,shape.com,null,null,null,null,null,null,null,null,None,None,None
